station_id,timestamp,temperature_c,humidity_pct
EM-ARACATUBA-01,2026-01-01T08:00:00-03:00,25.4,65.2
EM-ARACATUBA-01,2026-01-01T12:00:00-03:00,31.2,50.5
EM-ARACATUBA-01,2026-01-01T16:00:00-03:00,29.8,55.1
EM-ARACATUBA-02,2026-01-01T08:00:00-03:00,24.8,68.0
EM-ARACATUBA-02,2026-01-01T12:00:00-03:00,30.5,52.3
EM-BIRIGUI-01,2026-01-02T09:00:00-03:00,26.1,60.4
EM-BIRIGUI-01,2026-01-02T13:00:00-03:00,32.0,45.8
EM-MIRANDOPOLIS-01,2026-01-02T10:00:00-03:00,27.3,58.2
EM-MIRANDOPOLIS-01,2026-01-02T14:00:00-03:00,33.1,42.1
EM-PENAPOLIS-01,2026-01-03T07:00:00-03:00,23.9,72.5
EM-PENAPOLIS-01,2026-01-03T11:00:00-03:00,28.0,55.0
EM-PENAPOLIS-01,2026-01-03T15:00:00-03:00,30.9,47.6
EM-TURIUBA-01,2026-01-03T08:30:00-03:00,24.3,70.1
EM-TURIUBA-01,2026-01-03T12:30:00-03:00,29.7,54.2
EM-TURIUBA-01,2026-01-03T16:30:00-03:00,31.4,49.8
EM-ARACATUBA-01,2026-01-04T08:00:00-03:00,25.1,66.7
EM-ARACATUBA-01,2026-01-04T12:00:00-03:00,32.4,48.9
EM-ARACATUBA-02,2026-01-04T09:00:00-03:00,24.6,69.3
EM-ARACATUBA-02,2026-01-04T13:00:00-03:00,30.8,53.0
EM-BIRIGUI-01,2026-01-04T08:30:00-03:00,26.8,61.1
EM-BIRIGUI-01,2026-01-04T12:30:00-03:00,33.2,44.7
EM-MIRANDOPOLIS-01,2026-01-05T08:00:00-03:00,27.0,59.8
EM-MIRANDOPOLIS-01,2026-01-05T12:00:00-03:00,34.0,40.9
EM-PENAPOLIS-01,2026-01-05T09:00:00-03:00,24.1,71.2
EM-PENAPOLIS-01,2026-01-05T13:00:00-03:00,29.5,56.4
EM-TURIUBA-01,2026-01-05T10:00:00-03:00,25.0,67.8
EM-TURIUBA-01,2026-01-05T14:00:00-03:00,31.7,50.2
EM-ARACATUBA-01,2026-01-06T08:00:00-03:00,25.7,64.9
EM-BIRIGUI-01,2026-01-06T09:00:00-03:00,27.2,60.0
EM-MIRANDOPOLIS-01,2026-01-06T10:00:00-03:00,28.4,57.2
EM-PENAPOLIS-01,2026-01-06T11:00:00-03:00,24.9,70.0
EM-TURIUBA-01,2026-01-06T12:00:00-03:00,30.6,53.1
